SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount
"31134-1","302126","1","Black","Plates","3021","PLATE 2X3","/cdn/product-assets/element.img.lod5photo.192x192/302126.jpg","1416"
"31134-1","303026","1","Black","Plates","3030","PLATE 4X10","/cdn/product-assets/element.img.lod5photo.192x192/303026.jpg","233"
"31134-1","4106977","2","Black","Plates","6106","CORNER PLATE 6X6X45Â°","/cdn/product-assets/element.img.lod5photo.192x192/4106977.jpg","86"
"31134-1","6047276","2","Black","Bricks","11477","PLATE W. BOW 1X2X2/3","/cdn/product-assets/element.img.lod5photo.192x192/6047276.jpg","680"
"31134-1","6250020","2","Black","Plates","41682","PLATE 1X2 W/ VERT. TUBE","/cdn/product-assets/element.img.lod5photo.192x192/6250020.jpg","169"
"31134-1","6275732","2","Black","Bricks","37352","BRICK 1X2, OUTSIDE HALF BOW","/cdn/product-assets/element.img.lod5photo.192x192/6275732.jpg","79"
"31134-1","6310268","1","Black","Plates","49563","PLATE 1X2 W/HOLDER, VERTICAL","/cdn/product-assets/element.img.lod5photo.192x192/6310268.jpg","342"
"31134-1","6344427","1","Black","Plates","78443","LEFT PLATE, 2X6, DEG. 9","/cdn/product-assets/element.img.lod5photo.192x192/6344427.jpg","47"
"31134-1","6344428","1","Black","Plates","78444","RIGHT PLATE, 2X6, DEG. 9","/cdn/product-assets/element.img.lod5photo.192x192/6344428.jpg","46"
"31134-1","4113988","1","Brick Yellow","Plates","3034","PLATE 2X8","/cdn/product-assets/element.img.lod5photo.192x192/4113988.jpg","314"
"31134-1","4114309","1","Brick Yellow","Plates","3020","PLATE 2X4","/cdn/product-assets/element.img.lod5photo.192x192/4114309.jpg","786"
"31134-1","4114319","1","Brick Yellow","Bricks","3001","BRICK 2X4","/cdn/product-assets/element.img.lod5photo.192x192/4114319.jpg","351"
"31134-1","4124067","2","Brick Yellow","Plates","3666","PLATE 1X6","/cdn/product-assets/element.img.lod5photo.192x192/4124067.jpg","457"
"31134-1","4160483","1","Brick Yellow","Plates","32028","PLATE 1X2 WITH SLIDE","/cdn/cs/set/assets/bltb1464b51e1c46085/4160483.jpg","103"
